"Title","Artist","ConstituentID","ArtistBio","Nationality","BeginDate","EndDate","Gender","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","ObjectID","URL","ThumbnailURL","Circumference (cm)","Depth (cm)","Diameter (cm)","Height (cm)","Length (cm)","Weight (kg)","Width (cm)","Seat Height (cm)","Duration (sec.)"
"Spider","Alexander Calder","922","(American, 1898â€“1976)","(American)","-1898","-1976","(Male)","1939","Painted sheet aluminum, steel rod, and steel wire","6' 8 1/2"" x 7' 4 1/2"" x 36 1/2"" (203.5 x 224.5 x 92.6 cm)","Gift of the artist","391.1966.a-c","Sculpture","Painting & Sculpture","########","Y","81431","http://www.moma.org/collection/works/81431","http://www.moma.org/media/W1siZiIsIjIxMTIzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5726856fa2824ab9","","92.6","","203.5","","6.1236","224.5","",""
"Rotary Demisphere (Precision Optics)","Marcel Duchamp","1634","(American, born France. 1887â€“1968)","(American)","-1887","-1968","(Male)","Paris, 1925","Painted papier-mÃ¢chÃ© demisphere fitted on velvet-covered disk, copper collar with plexiglass dome, motor, pulley, and metal stand","58 1/2 x 25 1/4 x 24"" (148.6 x 64.2 x 60.9 cm)","Gift of Mrs. William Sisler and Edward James Fund","391.1970.a-c","Sculpture","Painting & Sculpture","########","Y","81432","http://www.moma.org/collection/works/81432","http://www.moma.org/media/W1siZiIsIjExMTI5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2e36b897e1c80da6","","60.9","","148.6","","","64.2","",""
"Model for Teodelapio","Alexander Calder","922","(American, 1898â€“1976)","(American)","-1898","-1976","(Male)","1962","Painted sheet aluminum","23 3/4 x 15 1/4 x 15 3/4"" (60.3 x 38.7 x 39.8 cm)","Gift of the artist","392.1966","Sculpture","Painting & Sculpture","########","Y","81433","http://www.moma.org/collection/works/81433","http://www.moma.org/media/W1siZiIsIjIwODg3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=30df5a00116e0eb2","","39.8","","60.3","","","38.7","",""
"Five Variations on the Ampersand","Chryssa","1118","(American, born Greece. 1933â€“2013)","(American)","-1933","-2013","(Female)","1966","Neon in tinted-plexiglass vitrines","One vitrine 30 3/4 x 14 1/4 x 12 3/8"" (78.1 x 36.2 x 31.3 cm), other four vitrines 29 1/2 x 14 1/4 x 12 3/8"" (74.8 x 36.2 x 31.3 cm)","Gift of D. and J. de Menil","393.1966.1-5","Sculpture","Painting & Sculpture","########","Y","81434","http://www.moma.org/collection/works/81434","http://www.moma.org/media/W1siZiIsIjUyMTgzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=463a70d98637ca9a","","31.4","","78.1","","","36.2","",""
"One and Three Chairs","Joseph Kosuth","3228","(American, born 1945)","(American)","-1945","0","(Male)","1965","Wood folding chair, mounted photograph of a chair, and mounted photographic enlargement of the dictionary definition of ""chair""","Chair 32 3/8 x 14 7/8 x 20 7/8"" (82 x 37.8 x 53 cm), photographic panel 36 x 24 1/8"" (91.5 x 61.1 cm), text panel 24 x 30"" (61 x 76.2 cm)","Larry Aldrich Foundation Fund","393.1970.a-c","Sculpture","Painting & Sculpture","########","Y","81435","http://www.moma.org/collection/works/81435","http://www.moma.org/media/W1siZiIsIjExNDAyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4edead91ada1e05a","","","","","","","","",""
"The Burning Walls of Troy","Reuben Nakian","4218","(American, 1897â€“1986)","(American)","-1897","-1986","(Male)","1957","Terra cotta","8 1/8 x 11 5/8 x 5 3/8"" (20.6 x 28.5 x 13.6 cm)","Gift of Wilder Green in memory of Frank O'Hara","394.1966","Sculpture","Painting & Sculpture","########","Y","81437","http://www.moma.org/collection/works/81437","","","13.6","","20.6","","4.536","28.5","",""
"Bust","Antoine Pevsner","4591","(French, born Russia. 1886â€“1962)","(French)","-1886","-1962","(Male)","1923-24","Metal and celluloid","20 7/8 x 23 3/8"" (53 x 59.4 cm)","Purchase","396.1938","Sculpture","Painting & Sculpture","########","Y","81439","http://www.moma.org/collection/works/81439","","","","","53","","","59.4","",""
"Head of a Woman","Naum Gabo","2043","(American, born Russia. 1890â€“1977)","(American)","-1890","-1977","(Male)","c. 1917-20 (after a work of 1916)","Celluloid and metal","24 1/2 x 19 1/4 x 14"" (62.2 x 48.9 x 35.4 cm)","Purchase","397.1938","Sculpture","Painting & Sculpture","########","Y","81440","http://www.moma.org/collection/works/81440","http://www.moma.org/media/W1siZiIsIjIxMTI0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0b149cb7710b5b26","","35.4","","62.2","","","48.9","",""
"Children on the Beach","Toni Hughes","2753","(American, 1907â€“?)","(American)","-1907","0","(Female)","1940","Plumber's hanger iron, galvanized wire cloth, screening, with various ornaments","24 1/2"" (62.2 cm) high, on base 24 1/8 x 7 1/2""  (61.3 x 9.1 cm)","Purchase","397.1941","Sculpture","Painting & Sculpture","########","Y","81441","http://www.moma.org/collection/works/81441","","","","","62.2","","","","",""
"Untitled","Lee Bontecou","670","(American, born 1931)","(American)","-1931","0","(Female)","1961","Welded steel, canvas, fabric, rawhide, copper wire, and soot","6' 8 1/4"" x 7' 5"" x 34 3/4"" (203.6 x 226 x 88 cm)","Kay Sage Tanguy Fund","398.1963","Sculpture","Painting & Sculpture","########","Y","81442","http://www.moma.org/collection/works/81442","http://www.moma.org/media/W1siZiIsIjE4NDI1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c43520b5ff4e8e6c","","88","","203.6","","81.6475","226","",""
