"Title","Artist","ConstituentID","ArtistBio","Nationality","BeginDate","EndDate","Gender","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","ObjectID","URL","ThumbnailURL","Circumference (cm)","Depth (cm)","Diameter (cm)","Height (cm)","Length (cm)","Weight (kg)","Width (cm)","Seat Height (cm)","Duration (sec.)"
"Filmrecording","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1307.201","Video","Media and Performance","########","Y","114652","http://www.moma.org/collection/works/114652","http://www.moma.org/media/W1siZiIsIjE0NjM0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=891ff09c4f03817c","","","","","","","","","120"
"Fire","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1308.201","Video","Media and Performance","########","Y","114653","http://www.moma.org/collection/works/114653","http://www.moma.org/media/W1siZiIsIjE0NjM1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3435ee987d60b23a","","","","","","","","","120"
"Flap","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1309.201","Video","Media and Performance","########","Y","114654","http://www.moma.org/collection/works/114654","http://www.moma.org/media/W1siZiIsIjE0NjM1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=48ee5d1c157746ae","","","","","","","","","120"
"Glasses","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1310.201","Video","Media and Performance","########","Y","114655","http://www.moma.org/collection/works/114655","http://www.moma.org/media/W1siZiIsIjE0NjM1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b36a7ebebf5fa89b","","","","","","","","","120"
"Sand Cone","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1311.201","Video","Media and Performance","########","Y","114656","http://www.moma.org/collection/works/114656","http://www.moma.org/media/W1siZiIsIjE0NjM1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=853e8146b5c27cd9","","","","","","","","","120"
"Sand Pillar 1979-82","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1312.201","Video","Media and Performance","########","Y","114657","http://www.moma.org/collection/works/114657","http://www.moma.org/media/W1siZiIsIjE0NjM1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3f9faef645a69863","","","","","","","","","120"
"Sand Track","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1313.201","Video","Media and Performance","########","Y","114658","http://www.moma.org/collection/works/114658","http://www.moma.org/media/W1siZiIsIjE0NjM1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9575397082df6993","","","","","","","","","120"
"Stool in River","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1314.201","Video","Media and Performance","########","Y","114659","http://www.moma.org/collection/works/114659","http://www.moma.org/media/W1siZiIsIjE0NjM1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f9176cf8c523b53b","","","","","","","","","120"
"Stool","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1315.201","Video","Media and Performance","########","Y","114660","http://www.moma.org/collection/works/114660","http://www.moma.org/media/W1siZiIsIjE0NjM1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ca06b2f85c2e2e47","","","","","","","","","120"
"Stool","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1316.201","Video","Media and Performance","########","Y","114661","http://www.moma.org/collection/works/114661","http://www.moma.org/media/W1siZiIsIjE0NjM2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dfa631ad74825f92","","","","","","","","","120"
"Stool","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1317.201","Video","Media and Performance","########","Y","114662","http://www.moma.org/collection/works/114662","http://www.moma.org/media/W1siZiIsIjE0NjM2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=87a19010e0a5a3d5","","","","","","","","","120"
"Stool","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1318.201","Video","Media and Performance","########","Y","114663","http://www.moma.org/collection/works/114663","http://www.moma.org/media/W1siZiIsIjE0NjM2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e1a41cc505bc4f66","","","","","","","","","120"
"Table","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1319.201","Video","Media and Performance","########","Y","114664","http://www.moma.org/collection/works/114664","http://www.moma.org/media/W1siZiIsIjE0NjM2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=04ce75ef94d62e35","","","","","","","","","120"
"Table","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1320.201","Video","Media and Performance","########","Y","114665","http://www.moma.org/collection/works/114665","http://www.moma.org/media/W1siZiIsIjE0NjM2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=90535ef0251c7de3","","","","","","","","","120"
"Experiment","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1321.201","Video","Media and Performance","########","Y","114666","http://www.moma.org/collection/works/114666","http://www.moma.org/media/W1siZiIsIjE0NjM2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1a73e9c838f00cfc","","","","","","","","","120"
"Tube","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1322.201","Video","Media and Performance","########","Y","114667","http://www.moma.org/collection/works/114667","http://www.moma.org/media/W1siZiIsIjE0NjM2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5fb1bd401d67e81c","","","","","","","","","120"
"Water","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1323.201","Video","Media and Performance","########","Y","114668","http://www.moma.org/collection/works/114668","http://www.moma.org/media/W1siZiIsIjE0NjM2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=43199d38ce9ceb0e","","","","","","","","","120"
"Waterfall","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1324.201","Video","Media and Performance","########","Y","114669","http://www.moma.org/collection/works/114669","http://www.moma.org/media/W1siZiIsIjE0NjM3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2cef32a01294623c","","","","","","","","","120"
"Waterfall","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1325.201","Video","Media and Performance","########","Y","114670","http://www.moma.org/collection/works/114670","http://www.moma.org/media/W1siZiIsIjE0NjM3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=84997b30e63646ab","","","","","","","","","120"
"Board","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1326.201","Video","Media and Performance","########","Y","114671","http://www.moma.org/collection/works/114671","http://www.moma.org/media/W1siZiIsIjE0NjM3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=674b1087edcc97d7","","","","","","","","","120"
"Box","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1327.201","Video","Media and Performance","########","Y","114672","http://www.moma.org/collection/works/114672","http://www.moma.org/media/W1siZiIsIjE0NjM3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ce6f011a3703763a","","","","","","","","","120"
"Writing 1-2-3","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1328.201","Video","Media and Performance","########","Y","114673","http://www.moma.org/collection/works/114673","http://www.moma.org/media/W1siZiIsIjE0NjM3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ac86ae74d71426f7","","","","","","","","","120"
"Yellow Band","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1982","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1329.201","Video","Media and Performance","########","Y","114674","http://www.moma.org/collection/works/114674","http://www.moma.org/media/W1siZiIsIjE0NjM3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1b0d804274f075c7","","","","","","","","","120"
"Action","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1981","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1330.201","Video","Media and Performance","########","Y","114675","http://www.moma.org/collection/works/114675","http://www.moma.org/media/W1siZiIsIjE0NjM3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6cbd080f8a10673c","","","","","","","","","120"
"Action","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1981","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1331.201","Video","Media and Performance","########","Y","114676","http://www.moma.org/collection/works/114676","http://www.moma.org/media/W1siZiIsIjE0NjM3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a300de2bf175bfbf","","","","","","","","","120"
"Balloon with Rocket","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1981","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1332.201","Video","Media and Performance","########","Y","114677","http://www.moma.org/collection/works/114677","http://www.moma.org/media/W1siZiIsIjE0NjM3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1422f07bca0253a0","","","","","","","","","120"
"Balloon","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1981","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1333.201","Video","Media and Performance","########","Y","114678","http://www.moma.org/collection/works/114678","http://www.moma.org/media/W1siZiIsIjE0NjM4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9ac5a8bcce54f607","","","","","","","","","120"
"Barrel with Rockets","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1981","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1334.201","Video","Media and Performance","########","Y","114679","http://www.moma.org/collection/works/114679","http://www.moma.org/media/W1siZiIsIjE0NjM4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=260cf390a8a0a8b4","","","","","","","","","120"
"Beams","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1981","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1335.201","Video","Media and Performance","########","Y","114680","http://www.moma.org/collection/works/114680","http://www.moma.org/media/W1siZiIsIjE0NjM4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=af1216d81e1a8f0e","","","","","","","","","120"
"Box","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1981","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1336.201","Video","Media and Performance","########","Y","114681","http://www.moma.org/collection/works/114681","http://www.moma.org/media/W1siZiIsIjE0NjM4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=df2a895b364b3bec","","","","","","","","","120"
"Box","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1981","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1337.201","Video","Media and Performance","########","Y","114682","http://www.moma.org/collection/works/114682","http://www.moma.org/media/W1siZiIsIjE0NjM4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f4f7d5fbed2aa863","","","","","","","","","120"
"Circle","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1981","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1338.201","Video","Media and Performance","########","Y","114683","http://www.moma.org/collection/works/114683","http://www.moma.org/media/W1siZiIsIjE0NjM4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=19cca09f6f561c01","","","","","","","","","120"
"Fire","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1981","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1339.201","Video","Media and Performance","########","Y","114684","http://www.moma.org/collection/works/114684","http://www.moma.org/media/W1siZiIsIjE0NjM5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0b93f4db36371a2f","","","","","","","","","120"
"Race","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1981","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1340.201","Video","Media and Performance","########","Y","114685","http://www.moma.org/collection/works/114685","http://www.moma.org/media/W1siZiIsIjE0NjM5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=60fefc9607d99f6f","","","","","","","","","120"
"Rockets","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1981","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1341.201","Video","Media and Performance","########","Y","114686","http://www.moma.org/collection/works/114686","http://www.moma.org/media/W1siZiIsIjE0NjM5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2da4f83d519deb69","","","","","","","","","120"
"Rods","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1981","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1342.201","Video","Media and Performance","########","Y","114687","http://www.moma.org/collection/works/114687","http://www.moma.org/media/W1siZiIsIjE0NjM5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dd9894accbbe6c55","","","","","","","","","120"
"Sand","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1981","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1343.201","Video","Media and Performance","########","Y","114688","http://www.moma.org/collection/works/114688","http://www.moma.org/media/W1siZiIsIjE0NjM5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d890fa6057b8c312","","","","","","","","","120"
"String Balloon","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1981","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1344.201","Video","Media and Performance","########","Y","114689","http://www.moma.org/collection/works/114689","http://www.moma.org/media/W1siZiIsIjE0NjM5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=211896ece9f74e89","","","","","","","","","120"
"Air Sleeve","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1980","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1345.201","Video","Media and Performance","########","Y","114690","http://www.moma.org/collection/works/114690","http://www.moma.org/media/W1siZiIsIjE0NjQwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=39bcc0b6a8bd7e2b","","","","","","","","","120"
"Balloon","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1980","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1346.201","Video","Media and Performance","########","Y","114691","http://www.moma.org/collection/works/114691","http://www.moma.org/media/W1siZiIsIjE0NjQwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d4713f59cc54833f","","","","","","","","","120"
"Balloon Shrinking","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1980","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1347.201","Video","Media and Performance","########","Y","114692","http://www.moma.org/collection/works/114692","http://www.moma.org/media/W1siZiIsIjE0NjQwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b3a65dbf9a5cafb2","","","","","","","","","120"
"Balloon with Bucket","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1980","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1348.201","Video","Media and Performance","########","Y","114693","http://www.moma.org/collection/works/114693","http://www.moma.org/media/W1siZiIsIjE0NjQwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e44887ed777c2402","","","","","","","","","120"
"Blue Air Balloon","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1980","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1349.201","Video","Media and Performance","########","Y","114694","http://www.moma.org/collection/works/114694","http://www.moma.org/media/W1siZiIsIjE0NjQwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a6a993e6380c959a","","","","","","","","","120"
"Board","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1980","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1350.201","Video","Media and Performance","########","Y","114695","http://www.moma.org/collection/works/114695","http://www.moma.org/media/W1siZiIsIjE0NjQwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6f1da59db4ec4ff7","","","","","","","","","120"
"Container under Water","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1980","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1351.201","Video","Media and Performance","########","Y","114696","http://www.moma.org/collection/works/114696","http://www.moma.org/media/W1siZiIsIjE0NjQwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=835062b81ade8ee7","","","","","","","","","120"
"Crater","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1980","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1352.201","Video","Media and Performance","########","Y","114697","http://www.moma.org/collection/works/114697","http://www.moma.org/media/W1siZiIsIjE0NjQwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=92ff7020e739796a","","","","","","","","","120"
"Explosion under Water","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1980","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1353.201","Video","Media and Performance","########","Y","114698","http://www.moma.org/collection/works/114698","http://www.moma.org/media/W1siZiIsIjE0NjQxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=297c62d7c9bea4eb","","","","","","","","","120"
"Fall from the Bridge","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1980","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1354.201","Video","Media and Performance","########","Y","114699","http://www.moma.org/collection/works/114699","http://www.moma.org/media/W1siZiIsIjE0NjQxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6d1dceeab05f9ffd","","","","","","","","","120"
"Line","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1980","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1355.201","Video","Media and Performance","########","Y","114700","http://www.moma.org/collection/works/114700","http://www.moma.org/media/W1siZiIsIjE0NjQxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=77a76d64dee93b77","","","","","","","","","120"
"Paper in River","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1980","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1356.201","Video","Media and Performance","########","Y","114701","http://www.moma.org/collection/works/114701","http://www.moma.org/media/W1siZiIsIjE0NjQxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c1d8c3dec0b5a4c8","","","","","","","","","120"
"Pine Tree with Rubber Band","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1980","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1357.201","Video","Media and Performance","########","Y","114702","http://www.moma.org/collection/works/114702","http://www.moma.org/media/W1siZiIsIjE0NjQxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=efac50c18e4f872a","","","","","","","","","120"
"Red Balloon","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1980","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1358.201","Video","Media and Performance","########","Y","114703","http://www.moma.org/collection/works/114703","http://www.moma.org/media/W1siZiIsIjE0NjQxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d2d27cafc9aa5567","","","","","","","","","120"
"Rocket","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1980","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1359.201","Video","Media and Performance","########","Y","114704","http://www.moma.org/collection/works/114704","http://www.moma.org/media/W1siZiIsIjE0NjQxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=93883e4c14f63aff","","","","","","","","","120"
"Rocket","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1980","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1360.201","Video","Media and Performance","########","Y","114705","http://www.moma.org/collection/works/114705","http://www.moma.org/media/W1siZiIsIjE0NjQxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=72191c4562bdd57f","","","","","","","","","120"
"""Rocket""","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1980","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1361.201","Video","Media and Performance","########","Y","114706","http://www.moma.org/collection/works/114706","http://www.moma.org/media/W1siZiIsIjE0NjQxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=67d1d06b30ab60f8","","","","","","","","","120"
"Rope","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1980","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1362.201","Video","Media and Performance","########","Y","114707","http://www.moma.org/collection/works/114707","http://www.moma.org/media/W1siZiIsIjE0NjQyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ee14814400d888b6","","","","","","","","","120"
"Rubber Band","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1980","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1363.201","Video","Media and Performance","########","Y","114708","http://www.moma.org/collection/works/114708","http://www.moma.org/media/W1siZiIsIjE0NjQyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=91c963eec0619b80","","","","","","","","","120"
"Sled","Roman Signer","7824","(Swiss, born 1938)","(Swiss)","-1938","0","(Male)","1980","Super 8mm film transferred to video (color, silent)","2 min.","Committee on Media Funds","1364.201","Video","Media and Performance","########","Y","114709","http://www.moma.org/collection/works/114709","http://www.moma.org/media/W1siZiIsIjE0NjQyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=519908f885d48a12","","","","","","","","","120"
